,City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,East London,ZA,20,1579850942,69,-33.02,27.91,24.0,8.2
1,Emba,KZ,100,1579850942,95,48.83,58.14,-5.02,4.84
2,Saint George,US,1,1579850768,59,37.1,-113.58,6.67,2.1
3,Kapaa,US,40,1579850942,77,22.08,-159.32,22.0,3.1
4,Maryborough,AU,98,1579850942,73,-25.53,152.7,28.91,3.59
5,Cabo San Lucas,MX,95,1579850668,86,22.89,-109.91,16.67,2.57
6,Bluff,NZ,95,1579850943,44,-46.6,168.33,27.31,3.67
7,Yellowknife,CA,90,1579850943,84,62.46,-114.35,-15.0,4.1
8,Pasir Gudang,MY,75,1579850943,52,1.46,103.88,33.0,6.2
9,Ushuaia,AR,20,1579850818,75,-54.8,-68.3,6.0,4.1
10,Vaini,TO,40,1579850943,83,-21.2,-175.2,26.0,3.1
11,Kavieng,PG,1,1579850943,73,-2.57,150.8,28.5,5.94
12,Atuona,PF,1,1579850943,78,-9.8,-139.03,27.32,5.93
13,Klobuck,PL,22,1579850944,86,50.9,18.94,-0.56,4.1
14,Ponta do Sol,PT,20,1579850944,71,32.67,-17.1,13.0,1.5
15,Punta Arenas,CL,64,1579850944,70,-53.15,-70.92,7.0,5.1
16,Baruun-Urt,MN,0,1579850944,75,46.68,113.28,-12.96,5.99
17,Amet,IN,0,1579850944,25,25.3,73.93,18.48,2.53
18,Fairlie,GB,90,1579850944,93,55.76,-4.86,8.0,4.6
19,Kosh-Agach,RU,42,1579850945,76,50.0,88.67,-15.35,0.74
20,Talnakh,RU,75,1579850945,84,69.49,88.4,-14.0,5.0
21,Saldanha,ZA,0,1579850945,73,-33.01,17.94,21.0,9.3
22,Hermanus,ZA,20,1579850945,74,-34.42,19.23,23.89,4.47
23,Hopkinsville,US,90,1579850945,100,36.87,-87.49,7.22,3.1
24,Thompson,CA,5,1579850729,91,55.74,-97.86,-17.0,1.0
25,Kjollefjord,NO,75,1579850945,73,70.95,27.35,-4.0,6.7
26,Hilo,US,90,1579850946,83,19.73,-155.09,22.0,1.5
27,Sabang,ID,56,1579850946,77,5.89,95.32,28.27,8.28
28,Vao,NC,100,1579850946,78,-22.67,167.48,25.29,8.81
29,La Rioja,ES,90,1579850946,100,42.25,-2.5,5.0,2.6
30,Nanortalik,GL,100,1579850946,94,60.14,-45.24,-1.56,5.6
31,Cidreira,BR,36,1579850946,74,-30.18,-50.21,23.24,7.76
32,Butaritari,KI,67,1579850946,72,3.07,172.79,28.73,3.42
33,Tezu,IN,93,1579850947,47,27.92,96.17,17.56,1.95
34,Lebu,CL,18,1579850947,83,-37.62,-73.65,12.48,2.63
35,Norman Wells,CA,90,1579850947,83,65.28,-126.83,-22.0,1.5
36,Benguela,AO,75,1579850947,65,-12.58,13.41,28.0,1.55
37,Busselton,AU,0,1579850947,23,-33.65,115.33,31.67,8.17
38,Albany,US,90,1579850947,73,42.6,-73.97,-2.22,1.5
39,Avarua,CK,100,1579850948,94,-21.21,-159.78,26.0,4.1
40,Shingu,JP,75,1579850948,62,33.73,135.98,13.0,5.1
41,Batagay-Alyta,RU,0,1579850948,65,67.8,130.41,-36.92,1.26
42,Chumphon,TH,20,1579850948,50,10.33,98.83,35.0,3.1
43,Alugan,PH,100,1579850948,86,12.22,125.48,26.82,7.62
44,Bell Ville,AR,13,1579850949,93,-32.63,-62.69,19.44,1.79
45,George Town,MY,20,1579850949,59,5.41,100.34,33.0,5.1
46,Tuktoyaktuk,CA,90,1579850949,83,69.45,-133.04,-20.0,5.1
47,Jamestown,US,90,1579850949,50,42.1,-79.24,4.44,3.1
48,Sompeta,IN,59,1579850949,38,18.93,84.6,28.59,2.83
49,Waingapu,ID,28,1579850949,69,-9.66,120.26,29.01,3.34
50,Zhanaozen,KZ,100,1579850949,81,43.3,52.8,1.19,6.89
51,Bollnaes,SE,52,1579850950,81,61.35,16.39,0.26,1.42
52,Esperance,AU,90,1579850950,60,-33.87,121.9,24.0,6.7
53,Amahai,ID,0,1579850950,65,-3.33,128.92,29.11,2.71
54,Mar del Plata,AR,53,1579850945,94,-38.0,-57.56,23.33,7.7
55,Kaitangata,NZ,76,1579850950,83,-46.28,169.85,21.11,2.24
56,Saint-Francois,FR,30,1579850775,86,46.42,3.91,-2.0,1.5
57,Mayma,RU,100,1579850951,73,52.02,85.91,0.59,2.6
58,Mataura,NZ,98,1579850951,63,-46.19,168.86,25.41,2.93
59,Cravo Norte,CO,97,1579850951,49,6.3,-70.2,28.86,1.84
60,Husavik,IS,90,1579850951,65,66.04,-17.34,0.0,20.6
61,Aklavik,CA,90,1579850951,83,68.22,-135.01,-23.0,1.0
62,Vysokogornyy,RU,100,1579850952,93,50.12,139.15,-20.8,5.73
63,Caravelas,BR,100,1579850952,84,-17.71,-39.25,24.71,14.39
64,Bethel,US,1,1579850916,79,41.37,-73.41,1.67,0.53
65,Energetik,RU,81,1579850952,92,51.74,58.79,-7.67,4.8
66,Bajil,YE,55,1579850952,79,15.06,43.29,20.91,0.66
67,Oddur,SO,100,1579850952,65,4.12,43.89,26.19,9.34
68,Airai,TL,54,1579850952,76,-8.93,125.41,24.73,1.18
69,Makakilo City,US,1,1579850872,82,21.35,-158.09,23.0,1.5
70,Carnarvon,AU,0,1579850953,46,-24.87,113.63,34.0,9.3
71,Narsaq,GL,100,1579850953,86,60.92,-46.05,-3.0,2.1
72,Dicabisagan,PH,69,1579850953,83,17.08,122.42,25.3,3.75
73,Provideniya,RU,97,1579850953,93,64.38,-173.3,-22.04,1.6
74,Bubaque,GW,51,1579850953,52,11.28,-15.83,26.7,6.57
75,Tommot,RU,87,1579850954,95,58.96,126.29,-28.72,0.33
76,Charleston,US,90,1579850834,100,32.78,-79.93,13.33,2.51
77,Broome,US,1,1579850954,42,42.25,-75.83,0.0,2.6
78,Savonlinna,FI,47,1579850954,92,61.87,28.92,-1.0,4.6
79,Longyearbyen,SJ,20,1579850954,65,78.22,15.64,-16.0,24.2
80,Yulara,AU,0,1579850954,17,-25.24,130.99,37.0,3.6
81,Pangnirtung,CA,100,1579850954,99,66.15,-65.71,-36.44,1.69
82,Opuwo,NA,99,1579850955,39,-18.06,13.84,21.73,1.78
83,Kiryat Gat,IL,75,1579850955,93,31.61,34.76,12.78,6.7
84,Xinglongshan,CN,0,1579850955,43,43.96,125.47,-7.22,4.0
85,Cherskiy,RU,8,1579850955,96,68.75,161.3,-39.85,0.74
86,Shakhtinsk,KZ,40,1579850955,79,49.71,72.59,-3.0,12.0
87,Rio Grande,BR,0,1579850955,80,-32.03,-52.1,21.44,5.26
88,Kayerkan,RU,75,1579850956,84,69.35,87.76,-14.0,5.0
89,Kyotera,UG,99,1579850956,52,-0.62,31.52,22.65,1.36
90,Tiksi,RU,0,1579850915,84,71.69,128.87,-35.18,2.54
91,Burnie,AU,78,1579850956,71,-41.07,145.92,20.0,4.02
92,Chui,UY,0,1579850956,86,-33.7,-53.46,19.16,2.84
93,Nabire,ID,36,1579850956,77,-3.37,135.48,28.42,1.96
